strategy,set_id,evidence_grade,threshold_summary,pig_status,recommendable,hard_count,hard_percentage_all_notes,hard_percentage_assigned_notes,gt_eligible_notes,gt_hard_count,gt_hard_percentage,gt_error_count,gt_selected_errors,gt_error_recall,gt_precision,gt_correct_sieve_rate,gt_enrichment,assigned_gt_error_recall,assigned_gt_precision,macro_finger_recall,worst_finger,cluster_count,replicates,error_recall_ci_low,error_recall_ci_high,precision_ci_low,precision_ci_high
baseline,legacy_current_default,exploratory,legacy 500ms/15st-180ms/3-note cluster,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,35000,0.06881351733412501,0.0805759105653436,1800,90,0.05,392,26,0.0663265306122449,0.28888888888888886,0.045454545454545456,1.3265306122448979,0.2222222222222222,0.28888888888888886,0.04963508322663253,L2,11,2000,0.03508160645516229,0.10096275252525252,0.2,0.4138256343526348
baseline,legacy_current_default__ni_k3_r1,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=3, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,35000,0.06881351733412501,0.0805759105653436,1800,90,0.05,392,26,0.0663265306122449,0.28888888888888886,0.045454545454545456,1.3265306122448979,0.2222222222222222,0.28888888888888886,0.04963508322663253,L2,11,2000,0.03508160645516229,0.10096275252525252,0.2,0.4138256343526348
baseline,legacy_current_default__ni_k3_r2,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=3, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,35000,0.06881351733412501,0.0805759105653436,1800,90,0.05,392,26,0.0663265306122449,0.28888888888888886,0.045454545454545456,1.3265306122448979,0.2222222222222222,0.28888888888888886,0.04963508322663253,L2,11,2000,0.03508160645516229,0.10096275252525252,0.2,0.4138256343526348
baseline,legacy_current_default__ni_k5_r1,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=5, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,35000,0.06881351733412501,0.0805759105653436,1800,90,0.05,392,26,0.0663265306122449,0.28888888888888886,0.045454545454545456,1.3265306122448979,0.2222222222222222,0.28888888888888886,0.04963508322663253,L2,11,2000,0.03508160645516229,0.10096275252525252,0.2,0.4138256343526348
baseline,legacy_current_default__ni_k5_r2,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=5, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,35000,0.06881351733412501,0.0805759105653436,1800,90,0.05,392,26,0.0663265306122449,0.28888888888888886,0.045454545454545456,1.3265306122448979,0.2222222222222222,0.28888888888888886,0.04963508322663253,L2,11,2000,0.03508160645516229,0.10096275252525252,0.2,0.4138256343526348
baseline,legacy_current_default__ni_k5_r4,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=5, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,35860,0.07050436376004923,0.08255577579637777,1800,90,0.05,392,26,0.0663265306122449,0.28888888888888886,0.045454545454545456,1.3265306122448979,0.2222222222222222,0.28888888888888886,0.04963508322663253,L2,11,2000,0.03508160645516229,0.10096275252525252,0.2,0.4138256343526348
baseline,legacy_current_default__ni_k3_r4,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=3, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,43570,0.08566299857850934,0.10030549780948632,1800,116,0.06444444444444444,392,28,0.07142857142857142,0.2413793103448276,0.0625,1.1083743842364533,0.23931623931623933,0.2413793103448276,0.05365023474178404,L2,11,2000,0.03508160645516229,0.11171469257832126,0.15,0.36363636363636365
baseline,legacy_current_default__ni_k2_r1,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=2, radius=1","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,49431,0.09718631358123239,0.11379850957587143,1800,139,0.07722222222222222,392,29,0.07397959183673469,0.20863309352517986,0.078125,0.9580091029217443,0.24786324786324787,0.20863309352517986,0.056665386256935554,L4,11,2000,0.041957478005865106,0.10997626011086772,0.14184397163120568,0.30337078651685395
baseline,legacy_current_default__ni_k2_r2,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=2, radius=2","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,62762,0.12339639928355298,0.14448872282577416,1800,180,0.1,392,33,0.08418367346938775,0.18333333333333332,0.10440340909090909,0.8418367346938775,0.28205128205128205,0.18333333333333332,0.06236676625409019,L4,11,2000,0.04827171465813485,0.12876764217517642,0.11464968152866242,0.28573809523809507
baseline,legacy_current_default__ni_k2_r4,exploratory,"legacy 500ms/15st-180ms/3-note cluster; physical must-alert; Noinfo k=2, radius=4","unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,92261,0.1813943977932488,0.21240040241911906,1800,270,0.15,392,37,0.09438775510204081,0.13703703703703704,0.16548295454545456,0.6292517006802721,0.3162393162393162,0.13703703703703704,0.0702708066581306,L4,11,2000,0.05539457325452047,0.13772631901551227,0.08424723424723425,0.21268855192124483
