,mandatory_missing,legacy_current_default,bl_span_practical,bl_span_comfortable,bl_span_relative,bl_crossing,bl_step_crossing,bl_rate_q995,bl_rate_q990,bl_rate_q975,bl_hmm_disagreement,bl_practical_or_rate995,bl_practical_or_crossing,bl_two_signal_strict,wl_model_agreement,wl_strict_obvious,hy_direct_plus_corroborated,hy_two_of_three_families,hy_hierarchical,ni_k2_r1,ni_k2_r2,ni_k2_r4,ni_k3_r1,ni_k3_r2,ni_k3_r4,ni_k5_r1,ni_k5_r2,ni_k5_r4,ni_w5_q995,ni_w5_q990,ni_w5_q975,ni_w9_q995,ni_w9_q990,ni_w9_q975,ni_w17_q995,ni_w17_q990,ni_w17_q975,mandatory_missing__ni_k2_r1,mandatory_missing__ni_k2_r2,mandatory_missing__ni_k2_r4,mandatory_missing__ni_k3_r1,mandatory_missing__ni_k3_r2,mandatory_missing__ni_k3_r4,mandatory_missing__ni_k5_r1,mandatory_missing__ni_k5_r2,mandatory_missing__ni_k5_r4,legacy_current_default__ni_k2_r1,legacy_current_default__ni_k2_r2,legacy_current_default__ni_k2_r4,legacy_current_default__ni_k3_r1,legacy_current_default__ni_k3_r2,legacy_current_default__ni_k3_r4,legacy_current_default__ni_k5_r1,legacy_current_default__ni_k5_r2,legacy_current_default__ni_k5_r4,bl_span_practical__ni_k2_r1,bl_span_practical__ni_k2_r2,bl_span_practical__ni_k2_r4,bl_span_practical__ni_k3_r1,bl_span_practical__ni_k3_r2,bl_span_practical__ni_k3_r4,bl_span_practical__ni_k5_r1,bl_span_practical__ni_k5_r2,bl_span_practical__ni_k5_r4,bl_span_comfortable__ni_k2_r1,bl_span_comfortable__ni_k2_r2,bl_span_comfortable__ni_k2_r4,bl_span_comfortable__ni_k3_r1,bl_span_comfortable__ni_k3_r2,bl_span_comfortable__ni_k3_r4,bl_span_comfortable__ni_k5_r1,bl_span_comfortable__ni_k5_r2,bl_span_comfortable__ni_k5_r4,bl_span_relative__ni_k2_r1,bl_span_relative__ni_k2_r2,bl_span_relative__ni_k2_r4,bl_span_relative__ni_k3_r1,bl_span_relative__ni_k3_r2,bl_span_relative__ni_k3_r4,bl_span_relative__ni_k5_r1,bl_span_relative__ni_k5_r2,bl_span_relative__ni_k5_r4,bl_crossing__ni_k2_r1,bl_crossing__ni_k2_r2,bl_crossing__ni_k2_r4,bl_crossing__ni_k3_r1,bl_crossing__ni_k3_r2,bl_crossing__ni_k3_r4,bl_crossing__ni_k5_r1,bl_crossing__ni_k5_r2,bl_crossing__ni_k5_r4,bl_step_crossing__ni_k2_r1,bl_step_crossing__ni_k2_r2,bl_step_crossing__ni_k2_r4,bl_step_crossing__ni_k3_r1,bl_step_crossing__ni_k3_r2,bl_step_crossing__ni_k3_r4,bl_step_crossing__ni_k5_r1,bl_step_crossing__ni_k5_r2,bl_step_crossing__ni_k5_r4,bl_rate_q995__ni_k2_r1,bl_rate_q995__ni_k2_r2,bl_rate_q995__ni_k2_r4,bl_rate_q995__ni_k3_r1,bl_rate_q995__ni_k3_r2,bl_rate_q995__ni_k3_r4,bl_rate_q995__ni_k5_r1,bl_rate_q995__ni_k5_r2,bl_rate_q995__ni_k5_r4,bl_rate_q990__ni_k2_r1,bl_rate_q990__ni_k2_r2,bl_rate_q990__ni_k2_r4,bl_rate_q990__ni_k3_r1,bl_rate_q990__ni_k3_r2,bl_rate_q990__ni_k3_r4,bl_rate_q990__ni_k5_r1,bl_rate_q990__ni_k5_r2,bl_rate_q990__ni_k5_r4,bl_rate_q975__ni_k2_r1,bl_rate_q975__ni_k2_r2,bl_rate_q975__ni_k2_r4,bl_rate_q975__ni_k3_r1,bl_rate_q975__ni_k3_r2,bl_rate_q975__ni_k3_r4,bl_rate_q975__ni_k5_r1,bl_rate_q975__ni_k5_r2,bl_rate_q975__ni_k5_r4,bl_hmm_disagreement__ni_k2_r1,bl_hmm_disagreement__ni_k2_r2,bl_hmm_disagreement__ni_k2_r4,bl_hmm_disagreement__ni_k3_r1,bl_hmm_disagreement__ni_k3_r2,bl_hmm_disagreement__ni_k3_r4,bl_hmm_disagreement__ni_k5_r1,bl_hmm_disagreement__ni_k5_r2,bl_hmm_disagreement__ni_k5_r4,bl_practical_or_rate995__ni_k2_r1,bl_practical_or_rate995__ni_k2_r2,bl_practical_or_rate995__ni_k2_r4,bl_practical_or_rate995__ni_k3_r1,bl_practical_or_rate995__ni_k3_r2,bl_practical_or_rate995__ni_k3_r4,bl_practical_or_rate995__ni_k5_r1,bl_practical_or_rate995__ni_k5_r2,bl_practical_or_rate995__ni_k5_r4,bl_practical_or_crossing__ni_k2_r1,bl_practical_or_crossing__ni_k2_r2,bl_practical_or_crossing__ni_k2_r4,bl_practical_or_crossing__ni_k3_r1,bl_practical_or_crossing__ni_k3_r2,bl_practical_or_crossing__ni_k3_r4,bl_practical_or_crossing__ni_k5_r1,bl_practical_or_crossing__ni_k5_r2,bl_practical_or_crossing__ni_k5_r4,bl_two_signal_strict__ni_k2_r1,bl_two_signal_strict__ni_k2_r2,bl_two_signal_strict__ni_k2_r4,bl_two_signal_strict__ni_k3_r1,bl_two_signal_strict__ni_k3_r2,bl_two_signal_strict__ni_k3_r4,bl_two_signal_strict__ni_k5_r1,bl_two_signal_strict__ni_k5_r2,bl_two_signal_strict__ni_k5_r4,wl_model_agreement__ni_k2_r1,wl_model_agreement__ni_k2_r2,wl_model_agreement__ni_k2_r4,wl_model_agreement__ni_k3_r1,wl_model_agreement__ni_k3_r2,wl_model_agreement__ni_k3_r4,wl_model_agreement__ni_k5_r1,wl_model_agreement__ni_k5_r2,wl_model_agreement__ni_k5_r4,wl_strict_obvious__ni_k2_r1,wl_strict_obvious__ni_k2_r2,wl_strict_obvious__ni_k2_r4,wl_strict_obvious__ni_k3_r1,wl_strict_obvious__ni_k3_r2,wl_strict_obvious__ni_k3_r4,wl_strict_obvious__ni_k5_r1,wl_strict_obvious__ni_k5_r2,wl_strict_obvious__ni_k5_r4,hy_direct_plus_corroborated__ni_k2_r1,hy_direct_plus_corroborated__ni_k2_r2,hy_direct_plus_corroborated__ni_k2_r4,hy_direct_plus_corroborated__ni_k3_r1,hy_direct_plus_corroborated__ni_k3_r2,hy_direct_plus_corroborated__ni_k3_r4,hy_direct_plus_corroborated__ni_k5_r1,hy_direct_plus_corroborated__ni_k5_r2,hy_direct_plus_corroborated__ni_k5_r4,hy_two_of_three_families__ni_k2_r1,hy_two_of_three_families__ni_k2_r2,hy_two_of_three_families__ni_k2_r4,hy_two_of_three_families__ni_k3_r1,hy_two_of_three_families__ni_k3_r2,hy_two_of_three_families__ni_k3_r4,hy_two_of_three_families__ni_k5_r1,hy_two_of_three_families__ni_k5_r2,hy_two_of_three_families__ni_k5_r4,hy_hierarchical__ni_k2_r1,hy_hierarchical__ni_k2_r2,hy_hierarchical__ni_k2_r4,hy_hierarchical__ni_k3_r1,hy_hierarchical__ni_k3_r2,hy_hierarchical__ni_k3_r4,hy_hierarchical__ni_k5_r1,hy_hierarchical__ni_k5_r2,hy_hierarchical__ni_k5_r4
mandatory_missing,74248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legacy_current_default,0.0,35000.0,8770.0,10971.0,16938.0,6175.0,2742.0,271.0,358.0,749.0,25858.0,9035.0,8770.0,8196.0,25858.0,30477.0,8949.0,8654.0,10476.0,7220.0,12767.0,15112.0,5397.0,10476.0,11254.0,580.0,1149.0,1387.0,476.0,476.0,3436.0,998.0,3730.0,3730.0,801.0,1697.0,3196.0,7220.0,12767.0,15112.0,5397.0,10476.0,11254.0,580.0,1149.0,1387.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,14427.0,19031.0,20656.0,13159.0,17499.0,18029.0,9193.0,9663.0,9837.0,16064.0,20209.0,21683.0,14911.0,18817.0,19296.0,11346.0,11778.0,11935.0,20408.0,23133.0,24272.0,19543.0,22047.0,22416.0,17190.0,17482.0,17597.0,12784.0,17950.0,19744.0,11322.0,16223.0,16818.0,6717.0,7265.0,7465.0,9765.0,15174.0,17312.0,8075.0,13094.0,13805.0,3313.0,3875.0,4098.0,7439.0,12924.0,15253.0,5627.0,10641.0,11416.0,849.0,1413.0,1650.0,7505.0,12966.0,15292.0,5697.0,10692.0,11467.0,935.0,1499.0,1735.0,7818.0,13161.0,15461.0,6019.0,10900.0,11667.0,1319.0,1868.0,2102.0,28225.0,30116.0,30661.0,27733.0,29587.0,29743.0,26056.0,26260.0,26324.0,14642.0,19184.0,20793.0,13385.0,17660.0,18187.0,9456.0,9921.0,10094.0,14427.0,19031.0,20656.0,13159.0,17499.0,18029.0,9193.0,9663.0,9837.0,14101.0,18858.0,20517.0,12798.0,17297.0,17839.0,8649.0,9151.0,9335.0,28225.0,30116.0,30661.0,27733.0,29587.0,29743.0,26056.0,26260.0,26324.0,31584.0,32476.0,32719.0,31340.0,32231.0,32305.0,30556.0,30651.0,30676.0,14575.0,19145.0,20758.0,13313.0,17622.0,18150.0,9370.0,9839.0,10012.0,14295.0,18790.0,20460.0,13006.0,17220.0,17753.0,9087.0,9566.0,9744.0,15717.0,19967.0,21481.0,14538.0,18540.0,19032.0,10865.0,11309.0,11469.0
bl_span_practical,0.0,8770.0,39443.0,39443.0,39443.0,8335.0,3328.0,16.0,22.0,42.0,26741.0,39443.0,39443.0,28293.0,26741.0,39443.0,39443.0,26746.0,39443.0,3462.0,5800.0,9335.0,1008.0,1747.0,2947.0,157.0,256.0,443.0,172.0,172.0,1524.0,236.0,942.0,942.0,210.0,473.0,1056.0,3462.0,5800.0,9335.0,1008.0,1747.0,2947.0,157.0,256.0,443.0,10669.0,12064.0,14879.0,8770.0,8770.0,9722.0,8770.0,8770.0,8893.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,11026.0,12866.0,15635.0,9093.0,9654.0,10597.0,8454.0,8532.0,8671.0,6557.0,8734.0,12017.0,4272.0,4951.0,6067.0,3476.0,3568.0,3739.0,3476.0,5814.0,9349.0,1022.0,1761.0,2961.0,173.0,272.0,459.0,3481.0,5819.0,9353.0,1028.0,1767.0,2967.0,179.0,278.0,465.0,3500.0,5837.0,9368.0,1048.0,1786.0,2986.0,199.0,298.0,485.0,27765.0,28469.0,29552.0,27036.0,27255.0,27598.0,26785.0,26821.0,26876.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,29153.0,29765.0,30685.0,28531.0,28721.0,29025.0,28325.0,28358.0,28403.0,27765.0,28469.0,29552.0,27036.0,27255.0,27598.0,26785.0,26821.0,26876.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,27768.0,28472.0,29555.0,27040.0,27259.0,27602.0,26790.0,26826.0,26881.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0,39443.0
bl_span_comfortable,0.0,10971.0,39443.0,69306.0,69306.0,8335.0,3328.0,359.0,459.0,1092.0,47255.0,39786.0,39443.0,28510.0,47255.0,69306.0,39660.0,47480.0,59957.0,5344.0,9327.0,15728.0,1457.0,2630.0,4682.0,205.0,342.0,614.0,242.0,242.0,2306.0,333.0,1389.0,1389.0,301.0,685.0,1556.0,5344.0,9327.0,15728.0,1457.0,2630.0,4682.0,205.0,342.0,614.0,14188.0,16769.0,22299.0,10971.0,10971.0,12724.0,10971.0,10971.0,11162.0,41325.0,42970.0,45836.0,39892.0,40326.0,41178.0,39491.0,39529.0,39614.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,12908.0,16393.0,22028.0,9542.0,10537.0,12332.0,8502.0,8618.0,8842.0,8439.0,12261.0,18410.0,4721.0,5834.0,7802.0,3524.0,3654.0,3910.0,5690.0,9642.0,16005.0,1810.0,2976.0,5022.0,563.0,699.0,971.0,5784.0,9728.0,16079.0,1908.0,3070.0,5110.0,663.0,799.0,1071.0,6397.0,10311.0,16585.0,2534.0,3685.0,5707.0,1296.0,1431.0,1701.0,48905.0,50091.0,52083.0,47695.0,48037.0,48643.0,47314.0,47363.0,47444.0,41657.0,43271.0,46099.0,40231.0,40658.0,41504.0,39833.0,39870.0,39955.0,41325.0,42970.0,45836.0,39892.0,40326.0,41178.0,39491.0,39529.0,39614.0,31243.0,33490.0,37252.0,29195.0,29815.0,30963.0,28589.0,28660.0,28790.0,48905.0,50091.0,52083.0,47695.0,48037.0,48643.0,47314.0,47363.0,47444.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,69306.0,41533.0,43168.0,46010.0,40107.0,40537.0,41381.0,39707.0,39745.0,39830.0,49121.0,50278.0,52245.0,47915.0,48250.0,48852.0,47539.0,47587.0,47668.0,60583.0,61065.0,61974.0,60102.0,60225.0,60488.0,59972.0,59985.0,60011.0
bl_span_relative,0.0,16938.0,39443.0,69306.0,182738.0,8335.0,3328.0,3332.0,4545.0,8683.0,114004.0,42759.0,39443.0,30079.0,114004.0,182738.0,41229.0,49049.0,61526.0,10849.0,20037.0,35384.0,2792.0,5367.0,10025.0,328.0,605.0,1168.0,403.0,403.0,4327.0,570.0,2588.0,2588.0,530.0,1286.0,3085.0,10849.0,20037.0,35384.0,2792.0,5367.0,10025.0,328.0,605.0,1168.0,24037.0,30403.0,44544.0,16938.0,16938.0,21187.0,16938.0,16938.0,17378.0,46830.0,53680.0,65492.0,41227.0,43063.0,46521.0,39614.0,39792.0,40168.0,74811.0,80016.0,88962.0,70641.0,72043.0,74649.0,69429.0,69569.0,69860.0,182738.0,182738.0,182738.0,182738.0,182738.0,182738.0,182738.0,182738.0,182738.0,18413.0,27103.0,41684.0,10877.0,13274.0,17675.0,8625.0,8881.0,9396.0,13944.0,22971.0,38066.0,6056.0,8571.0,13145.0,3647.0,3917.0,4464.0,14064.0,23042.0,38038.0,6088.0,8608.0,13150.0,3658.0,3931.0,4482.0,15226.0,24126.0,38989.0,7286.0,9791.0,14281.0,4870.0,5143.0,5689.0,19238.0,27881.0,42281.0,11383.0,13817.0,18149.0,9002.0,9268.0,9800.0,117887.0,121277.0,127087.0,115000.0,115927.0,117685.0,114123.0,114227.0,114438.0,50031.0,56671.0,68132.0,44509.0,46290.0,49632.0,42928.0,43102.0,43466.0,46830.0,53680.0,65492.0,41227.0,43063.0,46521.0,39614.0,39792.0,40168.0,38258.0,45619.0,58168.0,32079.0,34079.0,37778.0,30280.0,30490.0,30903.0,117887.0,121277.0,127087.0,115000.0,115927.0,117685.0,114123.0,114227.0,114438.0,182738.0,182738.0,182738.0,182738.0,182738.0,182738.0,182738.0,182738.0,182738.0,48548.0,55297.0,66926.0,42991.0,44801.0,48196.0,41398.0,41575.0,41943.0,56136.0,62407.0,73161.0,50799.0,52514.0,55667.0,49230.0,49417.0,49781.0,67598.0,73194.0,82890.0,62986.0,64489.0,67303.0,61663.0,61815.0,62124.0
bl_crossing,0.0,6175.0,8335.0,8335.0,8335.0,8335.0,3328.0,1.0,3.0,11.0,6786.0,8335.0,8335.0,8335.0,6786.0,8335.0,8335.0,6788.0,8335.0,771.0,1269.0,2035.0,250.0,428.0,685.0,38.0,59.0,107.0,41.0,41.0,325.0,54.0,224.0,224.0,47.0,114.0,245.0,771.0,1269.0,2035.0,250.0,428.0,685.0,38.0,59.0,107.0,6335.0,6452.0,6667.0,6175.0,6175.0,6249.0,6175.0,6175.0,6185.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,3866.0,4203.0,4717.0,3514.0,3632.0,3805.0,3357.0,3371.0,3403.0,772.0,1270.0,2036.0,251.0,429.0,686.0,39.0,60.0,108.0,773.0,1271.0,2037.0,253.0,431.0,688.0,41.0,62.0,110.0,780.0,1278.0,2044.0,261.0,439.0,696.0,49.0,70.0,118.0,6949.0,7041.0,7204.0,6842.0,6871.0,6910.0,6798.0,6801.0,6811.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,6949.0,7041.0,7204.0,6842.0,6871.0,6910.0,6798.0,6801.0,6811.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,6950.0,7042.0,7205.0,6844.0,6873.0,6912.0,6800.0,6803.0,6813.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0,8335.0
bl_step_crossing,0.0,2742.0,3328.0,3328.0,3328.0,3328.0,3328.0,0.0,0.0,0.0,2701.0,3328.0,3328.0,3328.0,2701.0,3328.0,3328.0,2701.0,3328.0,233.0,394.0,646.0,64.0,124.0,208.0,9.0,16.0,32.0,12.0,12.0,98.0,15.0,66.0,66.0,14.0,35.0,82.0,233.0,394.0,646.0,64.0,124.0,208.0,9.0,16.0,32.0,2778.0,2801.0,2846.0,2742.0,2742.0,2759.0,2742.0,2742.0,2743.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,233.0,394.0,646.0,64.0,124.0,208.0,9.0,16.0,32.0,233.0,394.0,646.0,64.0,124.0,208.0,9.0,16.0,32.0,233.0,394.0,646.0,64.0,124.0,208.0,9.0,16.0,32.0,2746.0,2781.0,2830.0,2713.0,2725.0,2736.0,2705.0,2706.0,2708.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,2746.0,2781.0,2830.0,2713.0,2725.0,2736.0,2705.0,2706.0,2708.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,2746.0,2781.0,2830.0,2713.0,2725.0,2736.0,2705.0,2706.0,2708.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0,3328.0
bl_rate_q995,0.0,271.0,16.0,359.0,3332.0,1.0,0.0,4745.0,4745.0,4745.0,1901.0,4745.0,16.0,1905.0,1901.0,4745.0,1905.0,2086.0,1905.0,148.0,406.0,875.0,41.0,106.0,253.0,2.0,7.0,20.0,0.0,0.0,42.0,5.0,32.0,32.0,9.0,19.0,47.0,148.0,406.0,875.0,41.0,106.0,253.0,2.0,7.0,20.0,367.0,563.0,1016.0,271.0,271.0,415.0,271.0,271.0,283.0,162.0,420.0,889.0,55.0,120.0,267.0,18.0,23.0,36.0,494.0,721.0,1152.0,394.0,452.0,593.0,360.0,364.0,377.0,3363.0,3411.0,3529.0,3337.0,3347.0,3378.0,3332.0,3333.0,3334.0,149.0,407.0,876.0,42.0,107.0,254.0,3.0,8.0,21.0,148.0,406.0,875.0,41.0,106.0,253.0,2.0,7.0,20.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,1991.0,2157.0,2432.0,1924.0,1966.0,2052.0,1901.0,1905.0,1912.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,162.0,420.0,889.0,55.0,120.0,267.0,18.0,23.0,36.0,1994.0,2160.0,2435.0,1927.0,1969.0,2055.0,1905.0,1909.0,1916.0,1991.0,2157.0,2432.0,1924.0,1966.0,2052.0,1901.0,1905.0,1912.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,4745.0,1994.0,2160.0,2435.0,1927.0,1969.0,2055.0,1905.0,1909.0,1916.0,2169.0,2311.0,2566.0,2105.0,2142.0,2227.0,2086.0,2089.0,2096.0,1994.0,2160.0,2435.0,1927.0,1969.0,2055.0,1905.0,1909.0,1916.0
bl_rate_q990,0.0,358.0,22.0,459.0,4545.0,3.0,0.0,4745.0,6351.0,6351.0,2502.0,4751.0,22.0,2507.0,2502.0,6351.0,2507.0,2727.0,2507.0,208.0,560.0,1180.0,58.0,142.0,349.0,3.0,8.0,26.0,0.0,0.0,52.0,6.0,39.0,39.0,11.0,22.0,64.0,208.0,560.0,1180.0,58.0,142.0,349.0,3.0,8.0,26.0,493.0,759.0,1360.0,358.0,358.0,562.0,358.0,358.0,374.0,227.0,579.0,1198.0,78.0,162.0,369.0,25.0,30.0,48.0,648.0,961.0,1531.0,509.0,582.0,777.0,461.0,465.0,483.0,4585.0,4649.0,4785.0,4552.0,4566.0,4605.0,4545.0,4546.0,4547.0,210.0,562.0,1182.0,61.0,145.0,352.0,6.0,11.0,29.0,208.0,560.0,1180.0,58.0,142.0,349.0,3.0,8.0,26.0,4805.0,4899.0,5050.0,4762.0,4781.0,4841.0,4746.0,4746.0,4751.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,2624.0,2846.0,3218.0,2534.0,2587.0,2711.0,2503.0,2507.0,2517.0,4810.0,4904.0,5054.0,4768.0,4787.0,4847.0,4752.0,4752.0,4757.0,227.0,579.0,1198.0,78.0,162.0,369.0,25.0,30.0,48.0,2627.0,2849.0,3221.0,2538.0,2591.0,2715.0,2508.0,2512.0,2522.0,2624.0,2846.0,3218.0,2534.0,2587.0,2711.0,2503.0,2507.0,2517.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,6351.0,2627.0,2849.0,3221.0,2538.0,2591.0,2715.0,2508.0,2512.0,2522.0,2840.0,3033.0,3380.0,2754.0,2800.0,2920.0,2728.0,2731.0,2741.0,2627.0,2849.0,3221.0,2538.0,2591.0,2715.0,2508.0,2512.0,2522.0
bl_rate_q975,0.0,749.0,42.0,1092.0,8683.0,11.0,0.0,4745.0,6351.0,14655.0,6040.0,4771.0,42.0,2522.0,6040.0,14655.0,2527.0,3089.0,2877.0,430.0,1230.0,2614.0,127.0,325.0,780.0,10.0,30.0,71.0,1.0,1.0,112.0,21.0,101.0,101.0,29.0,65.0,155.0,430.0,1230.0,2614.0,127.0,325.0,780.0,10.0,30.0,71.0,1028.0,1624.0,2963.0,749.0,749.0,1193.0,749.0,749.0,786.0,468.0,1267.0,2647.0,167.0,364.0,819.0,52.0,72.0,113.0,1483.0,2214.0,3471.0,1204.0,1380.0,1805.0,1101.0,1119.0,1158.0,8819.0,9074.0,9511.0,8718.0,8775.0,8904.0,8684.0,8693.0,8703.0,439.0,1239.0,2623.0,138.0,336.0,791.0,21.0,41.0,82.0,430.0,1230.0,2614.0,127.0,325.0,780.0,10.0,30.0,71.0,5027.0,5569.0,6484.0,4831.0,4964.0,5272.0,4753.0,4768.0,4796.0,6573.0,7021.0,7785.0,6420.0,6534.0,6782.0,6358.0,6373.0,6396.0,14655.0,14655.0,14655.0,14655.0,14655.0,14655.0,14655.0,14655.0,14655.0,6283.0,6771.0,7593.0,6103.0,6223.0,6485.0,6042.0,6055.0,6076.0,5051.0,5592.0,6503.0,4857.0,4989.0,5297.0,4779.0,4794.0,4822.0,468.0,1267.0,2647.0,167.0,364.0,819.0,52.0,72.0,113.0,2863.0,3533.0,4669.0,2622.0,2789.0,3161.0,2530.0,2549.0,2582.0,6283.0,6771.0,7593.0,6103.0,6223.0,6485.0,6042.0,6055.0,6076.0,14655.0,14655.0,14655.0,14655.0,14655.0,14655.0,14655.0,14655.0,14655.0,2868.0,3537.0,4670.0,2627.0,2793.0,3165.0,2535.0,2554.0,2587.0,3416.0,4041.0,5115.0,3183.0,3337.0,3697.0,3097.0,3115.0,3147.0,3211.0,3864.0,4960.0,2975.0,3135.0,3499.0,2885.0,2904.0,2936.0
